1311, -28, 1542
731, 57, 1513
731, 57, 1513
-,-,-
387, 70, 1256
470, 53, 1364
566, 44, 1535
804, -13, 1485
823, -43, 1398
726, 21, 1214
726, 21, 1214
751, 63, 983
470, 185, 911
307, 309, 900
315, 400, 595
315, 400, 595
278, 401, 1
316, 327, -627
139, 285, -1047
-65, 393, -998
-65, 393, -998
-515, 466, -1250
-217, 309, -1648
239, 219, -1719
375, 197, -1666
177, 224, -1545
-89, 208, -1574
-85, 168, -1673
66, 73, -1822
46, 56, -1818
-11, 134, -1683
-11, 134, -1683
-126, 201, -1561
-101, 217, -1592
-118, 264, -1611
-368, 376, -1724
-456, 596, -1907
83, 757, -1739
583, 714, -1069
579, 708, -633
886, 692, -387
1197, 739, 457
1868, 385, 1518
1868, 385, 1518
1737, 88, 1684
1069, 38, 1208
-,-,-
173, 124, 1066
173, 124, 1066
279, 182, 1188
392, 82, 1286
485, 87, 1346
319, 245, 1406
380, 225, 1455
353, 197, 1554
353, 197, 1554
134, 318, 1427
-30, 340, 1088
-8, 58, 702
100, 94, 526
100, 94, 526
134, 107, 288
114, 128, 31
10, 238, -190
-157, 302, -548
-359, 247, -915
-359, 247, -915
-386, 191, -1062
-264, 199, -1139
2, 202, -1258
59, 228, -1187
-33, 318, -1276
-41, 315, -1493
-5, 245, -1769
28, 185, -1922
142, 141, -1874
142, 141, -1874
221, 92, -1723
